file,author,title,volume,source_xml,chars,words
CLTK__Ammianus__15.txt,Ammianus,15,,ammianus/15.txt,53149,6909
CLTK__Ammianus__16.txt,Ammianus,16,,ammianus/16.txt,58898,7709
CLTK__Ammianus__17.txt,Ammianus,17,,ammianus/17.txt,54214,7071
CLTK__Ammianus__18.txt,Ammianus,18,,ammianus/18.txt,38680,5023
CLTK__Ammianus__19.txt,Ammianus,19,,ammianus/19.txt,44343,5717
CLTK__Ammianus__20.txt,Ammianus,20,,ammianus/20.txt,42284,5434
CLTK__Ammianus__21.txt,Ammianus,21,,ammianus/21.txt,54706,7058
CLTK__Ammianus__22.txt,Ammianus,22,,ammianus/22.txt,68339,8931
CLTK__Ammianus__23.txt,Ammianus,23,,ammianus/23.txt,52501,6916
CLTK__Ammianus__24.txt,Ammianus,24,,ammianus/24.txt,45287,5825
CLTK__Ammianus__25.txt,Ammianus,25,,ammianus/25.txt,52553,6815
CLTK__Ammianus__26.txt,Ammianus,26,,ammianus/26.txt,50054,6298
CLTK__Ammianus__27.txt,Ammianus,27,,ammianus/27.txt,48458,6287
CLTK__Ammianus__28.txt,Ammianus,28,,ammianus/28.txt,55991,7205
CLTK__Ammianus__29.txt,Ammianus,29,,ammianus/29.txt,61018,7767
CLTK__Ammianus__30.txt,Ammianus,30,,ammianus/30.txt,46905,6083
CLTK__Ammianus__31.txt,Ammianus,31,,ammianus/31.txt,74320,9570
CLTK__Ampelius__Ampelius.txt,Ampelius,Ampelius,,ampelius.txt,53734,7420
CLTK__Andecavis__Andecavis.txt,Andecavis,Andecavis,,andecavis.txt,1046,152
CLTK__Andreasbergoma__Andreasbergoma.txt,Andreasbergoma,Andreasbergoma,,andreasbergoma.txt,28742,4053
CLTK__Andronicus__Andronicus.txt,Andronicus,Andronicus,,andronicus.txt,2644,378
CLTK__Angilbert__Angilbert.txt,Angilbert,Angilbert,,angilbert.txt,2303,308
CLTK__Annalesregnifrancorum__Annalesregnifrancorum.txt,Annalesregnifrancorum,Annalesregnifrancorum,,annalesregnifrancorum.txt,157617,21807
CLTK__Annalesvedastini__Annalesvedastini.txt,Annalesvedastini,Annalesvedastini,,annalesvedastini.txt,55113,7720
CLTK__Anon__Anon_Deramis.txt,Anon,Anon Deramis,,anon.deramis.txt,895,134
CLTK__Anon__Anon_Martyrio.txt,Anon,Anon Martyrio,,anon.martyrio.txt,19053,2797
CLTK__Anon__Anon_Nev.txt,Anon,Anon Nev,,anon.nev.txt,45156,6963
CLTK__Anselmepistula__Anselmepistula.txt,Anselmepistula,Anselmepistula,,anselmepistula.txt,5155,713
CLTK__Anselmproslogion__Anselmproslogion.txt,Anselmproslogion,Anselmproslogion,,anselmproslogion.txt,39727,6412
CLTK__Apicius__Apicius1.txt,Apicius,Apicius1,,apicius/apicius1.txt,9223,1318
CLTK__Apicius__Apicius2.txt,Apicius,Apicius2,,apicius/apicius2.txt,6510,907
CLTK__Apicius__Apicius3.txt,Apicius,Apicius3,,apicius/apicius3.txt,9531,1283
CLTK__Apicius__Apicius4.txt,Apicius,Apicius4,,apicius/apicius4.txt,21104,2880
CLTK__Apicius__Apicius5.txt,Apicius,Apicius5,,apicius/apicius5.txt,10930,1515
CLTK__Appverg__Appverg_Aetna.txt,Appverg,Appverg Aetna,,appverg.aetna.txt,30786,4348
CLTK__Appverg__Appverg_Catalepton.txt,Appverg,Appverg Catalepton,,appverg.catalepton.txt,9243,1361
CLTK__Appverg__Appverg_Ciris.txt,Appverg,Appverg Ciris,,appverg.ciris.txt,25859,3596
